id,is_iceberg
5941774d,0.005586
4023181e,0.031688
b20200e4,0.000000
e7f018bb,0.999914
4371c8c3,0.014547
a8d9b1fd,0.051959
29e7727e,0.370138
92a51ffb,0.999990
c769ac97,0.000000
aee0547d,0.000000
565b28ac,0.000000
e04e9775,0.017311
8e8161d1,0.000010
4cf4d256,0.475734
139e5324,0.001662
f156976f,0.000018
68a117cc,0.000065
d9aa7a56,0.002494
9005b143,0.000760
5f6d3988,0.986216
9ad70954,0.001307
b9087b9e,0.466522
a39a1427,0.001809
82fbe8ed,0.003537
1fae4879,0.000000
6dd8f13d,0.000000
bbad5958,0.005221
54527583,0.018813
be8fa29c,0.015671
81a3328f,0.999993
1a3c0ab3,0.000000
4deeeb8b,0.229717
ac6d5632,0.128467
472dadb5,0.035904
96093f95,0.973688
f5b4e3df,0.986495
e01a3c92,0.014792
001680af,0.002711
8e639f33,0.037250
a2c16612,0.963622
a6d76474,0.000000
19c47684,0.029282
015827b6,0.000001
7df7f7ce,0.003158
0bbf1a3f,0.331556
636cfbb7,0.513851
7370030a,0.999729
43aa97ad,0.000000
ba2b5e63,0.999999
dfdd335b,0.250672
e79b13dc,0.000000
dc32b195,0.057032
6d868590,1.000000
75fa59aa,0.002281
ffe50836,0.003625
a7bfd784,0.999892
b3d569e3,0.000000
6c538c5b,0.007522
5c7c15f4,0.000000
0b745139,0.000983
fd14608e,0.004706
f0bc8305,0.000018
a10ccb28,0.999949
543304c7,0.063965
6c3a4078,0.000000
9b73cc75,0.000406
5c6c71b1,0.000629
09ee9186,0.004258
207c35cf,0.110415
153c813e,0.000000
5605d58b,0.133360
642ca396,0.000089
d32d72c0,0.053713
16646a17,0.995737
384074af,0.003854
69bf1e8c,0.524073
9e90a054,0.045805
89dbe7f7,0.999792
dbd27d22,0.141046
a2ea1561,0.046181
d63402af,0.007294
1ac8bb92,0.999995
8beffca5,0.010162
46741f3e,0.000000
e5ee6aa7,0.000055
5ecd892b,0.793804
69892166,0.000000
2f725a81,0.028850
810abfe4,0.000000
e6f973e6,0.020367
c60a5c46,0.000430
c42b9e08,0.191807
c3f00c23,0.005213
5307fdb8,0.996292
3e4f005e,0.000002
4a4cc2e0,0.967094
9bdd88d1,0.000000
0d832bed,0.002310
14a134fa,0.028013
78a41676,0.000000
0bd4658e,0.022959
4a311bb0,0.423138
f939c817,0.000000
956adc4d,0.999939
f8a119f5,0.633500
61faa1ad,0.001282
6725eb3e,0.000056
17b3a8fd,0.005859
49a88dfc,0.000000
2d6ec645,0.016016
0d4d77ba,0.292743
3ee672a2,0.999997
738b41fd,0.081633
f7fb320d,0.051150
b42fad18,0.000000
4ab8b00a,0.108844
f7870f2b,0.001303
4978666a,0.481187
f1b0d6c7,0.000000
5642407f,0.000017
36d4ff92,0.998681
4139aba2,0.012124
7585ce58,0.268487
33e25984,0.999882
ac46f3c9,0.001899
fc34a5b8,0.747571
85c36a8f,0.100771
b2d8a426,0.403106
13ec60d1,0.887750
9d440f42,0.006290
1c0a891e,0.544347
981c3bc3,0.999994
295604f4,0.347231
16ca16c3,0.003319
b4dda837,0.015862
88d088ef,0.001711
1b4fa160,0.023964
f371bd82,0.000000
b130a0b7,0.999980
ebf1de82,0.012213
01e651c3,0.001566
51b1fecc,0.083918
fa635a31,0.000000
97b7d789,0.000000
2f598053,0.000944
c0e3e148,0.035782
cfa175a8,0.018704
3d7e09d8,0.989625
44a13d1b,0.997695
c66b0948,0.008976
976a6d64,0.001567
8bbd8909,0.250250
522890fd,0.000551
f23a3b95,0.311981
680039dc,0.003510
93028e53,0.008940
22a16932,0.000126
7d8126d2,0.000504
ba2ecd75,0.000000
8071bdd7,0.053854
96d5aeee,0.000000
154be68f,0.991764
d8c2bfe2,0.999862
f76d47b0,0.006561
0e781ade,0.000000
13cf6060,0.000000
cd99f710,0.000751
d10005bb,0.000005
3a31445f,0.999995
3157202d,0.002289
6ee64703,0.107817
e5de8685,0.033963
02cc70ba,0.000122
50984a87,0.900380
fa94957a,0.999920
eab406b4,0.070006
3ad39398,0.609810
9ecf3802,0.000902
6048ae7b,0.000000
9dc68871,0.000001
13701465,0.135358
8d8779f3,0.000000
0712f269,0.011035
722c2597,0.000000
478a2b08,0.262519
38f5fb41,0.254988
c52ad74d,0.999153
0c85fd09,0.000000
f1582cba,0.940398
ff836697,0.964884
ddfe4802,0.000386
3cef3bc7,0.999861
6a21542b,0.004510
150e23c4,0.999950
078c6d99,0.962514
1dcd1dc3,0.000018
39967e45,0.093566
6b6333aa,0.000000
4ae61433,0.003787
f96362e0,0.001880
97a88aac,0.000003
427ae8ce,0.027795
209d4b15,0.001035
64b453bd,0.000000
0f5a484e,0.339834
5ac74969,0.935236
736ed43e,0.323390
8533795f,0.013707
f5b54fb6,0.429269
6eb4c041,0.055970
97afdf42,0.769367
1bb488db,0.003015
f132e44d,0.000996
d3c2f140,0.022421
1756794d,0.270277
9efcc11f,0.000000
14c966cf,0.191649
59cfe4d1,0.182678
883151f4,0.000000
34c4c9ff,0.032380
70b4c2eb,0.974455
96a337d9,0.051681
7fe89ffa,0.401768
057c7a22,0.000000
451cc057,0.000005
05076700,0.000000
dc52f6c1,0.000025
b03a59f9,0.000030
129ed4b0,0.047318
fb611563,0.999939
ac32e6f1,0.078383
c05c5ab0,0.018059
3163d5ed,0.011985
02096ca4,0.073968
e92496c0,0.000000
1a9e2c50,0.999301
0864e334,0.884295
d976faeb,0.051428
1d7b342f,0.000056
281bc1ea,0.000000
bea9f0cf,0.317883
f4afa0e6,0.000000
e1b5ef69,0.106427
b50539fd,0.000036
2a8c9c15,0.161869
157ebb0c,0.997080
247d3614,0.000022
0c6cc0cb,0.000000
aae88d39,0.000063
0c77b464,0.000469
963cf5ea,0.000010
1b371d8b,0.987725
225bc00f,0.000000
bc0a4eec,0.000140
1099782e,0.004794
a18feadd,0.997589
ad7f4932,0.051693
5f8f831e,0.836620
b5167c35,0.000001
0230b06d,0.114038
f8d7f7ba,0.000005
08bd1053,0.010887
58e4dc8c,0.000000
4793ce8e,0.225618
304caab4,0.000000
f2ee6d7f,0.000495
e1f9c0e4,0.083632
8e40401c,0.022265
5d9eaba2,0.173635
55e7562c,0.003210
9da6cb4b,0.000000
c3c1c8ec,0.000000
3b38698e,0.000041
6c9eb909,0.006134
482a3d1d,0.002284
0e9918f0,0.429825
ef894fd2,0.000000
4b82e7f7,0.999983
b9cdd7fb,0.000000
94a496f4,0.004403
995eacae,0.161831
41b02e58,0.999235
69f04617,0.002926
c889a03c,0.999998
91f98acf,0.999963
9135c19f,0.999987
1f0e9c09,0.000000
260d6e8e,0.000000
46334397,0.000001
f34ddf31,0.000113
4d6177d7,0.545000
76a57270,0.081285
217b8cea,0.000008
9a45a566,0.000000
1b55c75e,0.000000
7bd92ec6,0.995859
6c409f41,0.257328
df3e48eb,0.081751
62723e57,0.000000
b8e627bf,0.000003
86bb5d85,0.006940
77e5034c,0.003430
607079e5,0.071822
96879fb4,0.000000
6afe606d,0.889066
4129802f,0.988945
a42300ef,0.063727
1af842f5,0.999404
3fe57d78,0.990382
f4e60ed5,0.999721
68c8337b,0.003474
914ed5b5,0.074404
a6bb5987,0.352493
c781c439,0.000814
47a1a25e,0.013214
80ea0713,0.987699
a9d001bc,0.001961
f94d098a,0.009080
3e230e0e,0.000012
24afa485,0.000000
bc37db7f,0.000907
83f99e4d,0.000000
1a8d86f7,0.000104
38136419,0.880376
d393e637,0.072212
36902570,0.997885
327f7b25,0.999472
3f8543c6,0.000003
a0d42a70,0.567305
e07ba430,0.236816
c6e53803,0.002230
fec4dad8,0.008794
